air_temp,brake,brake_balance,brake_temp_0,brake_temp_1,brake_temp_2,brake_temp_3,distance,fuel,g_force_0,g_force_1,g_force_2,gear,position_0,position_1,position_2,rpm,speed,throttle,time,tyre_pressure_0,tyre_pressure_1,tyre_pressure_2,tyre_pressure_3,tyre_temperature_0,tyre_temperature_1,tyre_temperature_2,tyre_temperature_3,wheel_slip_0,wheel_slip_1,wheel_slip_2,wheel_slip_3,wheel_speed_0,wheel_speed_1,wheel_speed_2,wheel_speed_3
28.33119010925293,0.0,0.75,434.4898681640625,429.6169128417969,253.07089233398438,250.7524871826172,0.0,44.66212844848633,-0.0012101411120966077,0.0028076779562979937,0.3869847059249878,4,0.0,0.21268550316796378,0.20456336027203928,6608,159.61306762695312,1.0,0,26.9295711517334,27.376108169555664,26.854047775268555,26.80364990234375,82.41236877441406,87.95304870605469,87.38385772705078,88.67029571533203,0.1324804723262787,0.11594267934560776,0.3201943039894104,0.3153107464313507,129.29537963867188,129.2678680419922,128.96426391601562,128.96426391601562
28.33144760131836,0.0,0.75,431.9219665527344,427.08245849609375,252.03269958496094,249.72557067871094,6.349609375,44.65643310546875,-0.005289829336106777,-0.08085732907056808,0.3925561010837555,4,-0.00017102861812800434,65.45464001544873,0.39800485441913463,6695,161.4519805908203,1.0,145,26.92885971069336,27.376760482788086,26.853240966796875,26.803680419921875,82.40479278564453,87.95967102050781,87.37528228759766,88.67045593261719,0.13884365558624268,0.12262634932994843,0.3435129225254059,0.34043610095977783,130.6854705810547,130.6322021484375,130.56654357910156,130.56654357910156
28.33150291442871,0.0,0.75,431.3702697753906,426.5379333496094,251.80935668945312,249.50465393066406,7.248046875,44.65507888793945,0.008174332790076733,-0.11795403808355331,0.3701625168323517,4,-0.00012558506665994267,76.90975219625074,0.6011563337800211,6701,161.8909454345703,1.0,170,26.92867660522461,27.376895904541016,26.853046417236328,26.803686141967773,82.40284729003906,87.9610595703125,87.37322235107422,88.67046356201172,0.1389952450990677,0.12266714870929718,0.36978429555892944,0.36257651448249817,130.97537231445312,131.0296630859375,131.09071350097656,131.09071350097656
28.331619262695312,0.0,0.75,430.818359375,425.9932556152344,251.58583068847656,249.28350830078125,9.044921875,44.65382766723633,-4.283335147192702e-05,-0.08251271396875381,0.3703950047492981,4,-0.00012589862184205758,91.99877272556326,0.8038467839643126,6737,162.28729248046875,1.0,203,26.928510665893555,27.377031326293945,26.852867126464844,26.803688049316406,82.40103149414062,87.96237182617188,87.37129211425781,88.67041778564453,0.13949179649353027,0.12364161014556885,0.3536650836467743,0.34976810216903687,131.38011169433594,131.41558837890625,131.2498321533203,131.2498321533203
28.331676483154297,0.0,0.75,430.26611328125,425.44818115234375,251.362060546875,249.06214904785156,10.28515625,44.652565002441406,-0.0045845890417695045,-0.03928562253713608,0.3711796998977661,4,-0.0001532913920633068,104.41236140569377,1.0065398507892762,6761,162.6787109375,1.0,230,26.928346633911133,27.37715721130371,26.85268783569336,26.803686141967773,82.39928436279297,87.96365356445312,87.36937713623047,88.67034912109375,0.13774237036705017,0.12245521694421768,0.363394558429718,0.357311874628067,131.86276245117188,131.79544067382812,131.6912078857422,131.6912078857422
28.331724166870117,0.0,0.75,429.52899169921875,424.7206726074219,251.06321716308594,248.76651000976562,11.75390625,44.65119552612305,0.007562563288956881,0.0042048790492117405,0.38471269607543945,4,-8.98650574689574e-05,121.84240845907779,1.2095559718719762,6766,163.11184692382812,1.0,268,26.928171157836914,27.377296447753906,26.85249137878418,26.80368423461914,82.39741516113281,87.965087890625,87.36729431152344,88.67029571533203,0.13239312171936035,0.12421748787164688,0.35428762435913086,0.3523942232131958,132.35183715820312,132.3483428955078,132.02369689941406,132.02369689941406
28.33177947998047,0.0,0.75,428.9754638671875,424.17431640625,250.83863830566406,248.54437255859375,13.33984375,44.649932861328125,0.006556481588631868,-0.02031039446592331,0.3971453011035919,4,-4.656200368694365e-05,135.68192373059588,1.4134848396456419,6776,163.52195739746094,1.0,298,26.92799949645996,27.37742042541504,26.85231590270996,26.80368423461914,82.3956069946289,87.9663314819336,87.36543273925781,88.6702651977539,0.12918013334274292,0.12030568718910217,0.3314976096153259,0.33013710379600525,132.5286865234375,132.56101989746094,132.19610595703125,132.19610595703125
28.331872940063477,0.0,0.75,428.4215393066406,423.6275939941406,250.6138153076172,248.3219757080078,14.81640625,44.6485595703125,-0.005640950985252857,0.11565489321947098,0.3800318241119385,4,-8.619497308274955e-05,150.46917650818145,1.616791945480659,6789,163.96388244628906,1.0,330,26.927814483642578,27.377548217773438,26.852134704589844,26.803695678710938,82.39360809326172,87.96759796142578,87.36347961425781,88.6703109741211,0.13180872797966003,0.11831482499837875,0.31037673354148865,0.30799463391304016,132.95901489257812,132.8570556640625,132.36898803710938,132.36898803710938
28.33192253112793,0.0,0.75,427.8674011230469,423.0806579589844,250.38877868652344,248.09938049316406,15.955078125,44.64728927612305,0.005103638861328363,0.06603789329528809,0.374063104391098,4,-6.0484048980576755e-05,161.18255402061146,1.8207201813821055,6803,164.35865783691406,1.0,353,26.927642822265625,27.377666473388672,26.851961135864258,26.803701400756836,82.39179229736328,87.96878814697266,87.36164093017578,88.67033386230469,0.12921160459518433,0.11554118245840073,0.3326074481010437,0.32367467880249023,133.24244689941406,133.31591796875,132.84568786621094,132.84568786621094
28.331972122192383,0.0,0.75,427.3127136230469,422.53314208984375,250.1634063720703,247.87644958496094,17.439453125,44.64590835571289,-0.0002114926028298214,0.0343029648065567,0.372790664434433,4,-6.219348989450894e-05,178.33255337618138,2.024230150994867,6827,164.7954864501953,1.0,390,26.927448272705078,27.377782821655273,26.851776123046875,26.8037052154541,82.38973236083984,87.96997833251953,87.35968017578125,88.67034149169922,0.12966017425060272,0.12201020866632462,0.31312811374664307,0.3140774667263031,133.54928588867188,133.5595703125,133.05210876464844,133.05210876464844
